Ponto,MAC_Ponto,MAC_Onibus,Hor_Chegada,Hor_Partida
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,12:41:02,12:41:06
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,12:41:00,12:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:41:00,22:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:44:00,22:44:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:17:46,15:17:50
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:19:51,15:19:53
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:31:34,15:31:40
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,15:31:33,15:31:40
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,15:33:11,15:33:23
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:3c:a6,12:31:02,12:31:06
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,12:31:00,12:31:05
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,22:31:00,22:31:05
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,22:34:00,22:34:05
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,15:07:46,15:07:50
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,15:09:51,15:09:53
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,15:21:34,15:21:40
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:3c:a6,15:21:33,15:21:40
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:3c:a6,15:23:11,15:23:23
Ponto,MAC_Ponto,MAC_Onibus,Hor_Chegada,Hor_Partida
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,12:41:02,12:41:06
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,12:41:00,12:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:41:00,22:41:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,22:44:00,22:44:05
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:17:46,15:17:50
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:19:51,15:19:53
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:06:87,15:31:34,15:31:40
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,15:31:33,15:31:40
Ponto_2,A4:17:31:FC:DD:20,0c:f3:ee:00:3c:a6,15:33:11,15:33:23
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:3c:a6,12:31:02,12:31:06
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,12:31:00,12:31:05
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,22:31:00,22:31:05
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,22:34:00,22:34:05
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,15:07:46,15:07:50
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,15:09:51,15:09:53
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:06:87,15:21:34,15:21:40
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:3c:a6,15:21:33,15:21:40
Ponto_1,A4:17:31:FC:DB:44,0c:f3:ee:00:3c:a6,15:23:11,15:23:23
